nombre;direccion;telefono;email;descripcion;;
Maria Isabel Valdes Urquiza;Pje. Los Geólogos 5111, Macul, Metropolitana De Santiago, Chile;22213831;luly1965@hotmail.com;Soy peluquera canina y además cuido perros en casa en un ambiente familiar.;;
Hospital Veterinario Universitario;Arturo Prat 131 Placilla Oriente, Valparaíso, Valparaiso, Chile;2299449-093439981;jonascoach@gmail.com;Un nuevo concepto en salud animal;;
Pet Shop Jael  Espinosa Flores;Manuel Rodrigez 3526, Recoleta, Metropolitana De Santiago, Chile;57097461;;Casa amarilla reja negra  y tres arboles ;;
Pet Shop Marcelo;Gabriela Mistral 9124 Villa Nueva Lo Espejo, Lo Espejo, Metropolitana De Santiago, Chile;9-4112757;marcelogho@hotmail.com;Variedad en alimentos para perros,gatos,aves y rumiantes;;
Mario  Soto  Aguilera;Román Díaz 720, Providencia, Metropolitana De Santiago, Chile;28137868;mario.soto@itrconsultores.cl;Terapia laser para mascotas.;;
TODO MASCOTAS;FREIRE 231-A QUILLOTA, Quillota, Valparaiso, Chile;33-350529;;TODO PARA SU MASCOTA CONTAMOS CON VETERINARIO DE LUNES A VIERNES;;
Az Servi Ltda;BALMACEDA N° 10 LOCAL A Y B RENGO, Rengo, Libertador General Bernardo O'Higgins, Chile;9-2834454;azserviltda@gmail.com;FARMACIA VETERINARIA Y PETS ....;;
FAUNALANDIA, SpA;SAN EUGENIO n° 1401 local  LOCAL 01, Ñuñoa, Metropolitana De Santiago, Chile;956445235;faunalandia.cl@gmail.com;PET SHOP Y PELUQUERIA CANINA;;
Happy Vet;Av. Larraín 6790, La Reina, Metropolitana De Santiago, Chile;29210166;veterinaria.happyvet@gmail.com;Clínica Veterinaria: que consta de consulta, emergencias, realización de cirugías.;;
Petlight;Parinacota 270 La Reina, La Reina, Metropolitana De Santiago, Chile;29807767;hectorj2010@gmail.com;Venta de alimento por mayor y menor ;;
Distribuidora Benji;SARGENTO MENADIER 486, Puente Alto, Metropolitana De Santiago, Chile;62199155;cpino@orionchile.com;VENTA AL POR MAYOR Y MENOR DE ALIMENTO DE MASCOTAS;;
Clínica Veterinaria Salvet;AVENIDA PORTALES 205, LOCAL 5, Maipú, Metropolitana De Santiago, Chile;24192296;andresvet@gmail.com;#¿NOMBRE?;;
Clínica Veterinaria Francal;Avenida Rauquen 1760, Curicó, Maule, Chile;9-9189705;francisco.homero@hotmail.com;Consulta Veterinaria, Farmacia, Distribución de Alimentos y accesorios para mascotas.;;
Clinica Veterinaria Andreau;Avenida Haydn 3193, Metro Rodrigo De Araya, San Joaquin, San Joaquín, Metropolitana De Santiago, Chile;24165301;clinicandreau@gmail.com;Consultas (en clínica y domicilio), Vacunas, Desparasitación, Cirugías, Tratamientos, Hospitalización, Peluquería, Baños Sanitarios;;
Criadero Bailly D Ours;Cumming, Villa Alemana, Valparaiso, Chile;96211276;ALGODOYF@GMAIL.COM;Criadero Bailly de Ours Bulldog Frances y Pug;;
Barki;Av El Rosal n° 6190, Maipú, Metropolitana De Santiago, Chile;978418126;barkistorechile@gmail.com;Venta de accesorios para mascotas. Emprendimiento social que busca ayudar a través de donaciones (30% de sus ventas) a fundaciones que se dedican a salvar vidas de peludos en situación de calle. ;;
TODO MASCOTAS;FREIRE 231-A QUILLOTA, Quillota, Valparaiso, Chile;33-350529;;TODO PARA SU MASCOTA CONTAMOS CON VETERINARIO DE LUNES A VIERNES;;
LASKAPRAGHEN;Etchevers Alto 645 21-D, Viña Del Mar, Valparaiso, Chile;84295128;jimpaulina@gmail.com;Criadero familiar de yorkshires negro plateado, negro fuego, regro rubio plateado, etc. pesos entre 1 kl y 2,700gr.;;
PONS RAZAS;Camino TUNICHE 1328 VILLA TUNICHE RANCAGUA, Rancagua, Libertador General Bernardo O'Higgins, Chile;78816505;ponsrazas@hotmail.com;Servicio Venta y Distribución de alimentos para Mascotas;;
Mi Mascota Entretenida;Avda. Portugal 87 Torre 8 Local 2-A, Metropolitana De Santiago, Chile;87264238;mascotaentrete@gmail.com;Peluqueria Canina y Pet Shop, estampados Publicitarios.;;
Clinica Veterinaria El Llano Subercaseaux;Gran Avenida 4265,paradero 9., San Miguel, Metropolitana De Santiago, Chile;23126196;rafaelvalderrama.1@gmail.com;Medicina clínica ,cirugía,ecografía,rayos X.;;
Criadero Bulldog Ingles Frantonbulls;Las Araucarias 1309 Lagunillas 3, Coronel, Coronel, Biobío, Chile;41-2104352-41-2754553;vida.animal@live.com;;;
TOTAL-PET.CL;Av. Padre Hurtado Sur 1807, Las Condes, Metropolitana De Santiago, Chile;29542683;totalpet@manquehue.net;Centro veterinario Total-Pet , mas de 8 años al cuidado de sus mascotas , Cirugias , plan de Salud , Reproduccion Canina , dermatologia , Laboratorio clinico , Farmacia y PET STORE;;
Putzy Cat;Merced 154, Santiago, Metropolitana De Santiago, Chile;26390821;veterinariaputzycat@gmail.com;tienda de mascotas ,veterinaria y peluqueria canina;;
Consulta Veterinaria Bobby;Huancayo  local  Santiago, Lo Prado, Metropolitana De Santiago, Chile;227862713;gustavoreyeslican@yahoo.com;Medicina, Vacunas, Esterilizaciones, Microchips de Identificación;;
DOGFULL , Servicio De Peluquería Canina  A Domicilio;Nueva Recoleta 3529, Recoleta, Metropolitana De Santiago, Chile;94467937;emikv17@hotmail.com;Servicio de peluquería canina a domicilio, preferencia sector norte y centro Santiago.;;
Petlight;Parinacota 270 La Reina, La Reina, Metropolitana De Santiago, Chile;29807767;hectorj2010@gmail.com;Venta de alimento por mayor y menor ;;
Clinica Veterinaria San Pablo;Av. San Pablo 5040, Quinta Normal, Metropolitana De Santiago, Chile;27733382;veterinaria.sto.domingo@gmail.com;Clínica Veterinaria, vacunas, domicilio, farmacia, peluquería, venta de alimentos, cirugía general, hospital, exámenes.;;
Barki;Av El Rosal n° 6190, Maipú, Metropolitana De Santiago, Chile;978418126;barkistorechile@gmail.com;Venta de accesorios para mascotas. Emprendimiento social que busca ayudar a través de donaciones (30% de sus ventas) a fundaciones que se dedican a salvar vidas de peludos en situación de calle. ;;
INGEPET;AV. MATTA 475-A, Santiago, Metropolitana De Santiago, Chile;88089847;COMERCIALINGEPET@GMAIL.COM;;;
Clinica Veterinaria Vetzoone;Chacabuco , Curicó, Maule, Chile;56984280760;rloyola@vetzoone.cl;Clínica Veterinaria Vetzoone, es una joven Clinica, con Medicos Veterinarios formados y preparados en grandes clínicas de Santiago, cuyo propósito en Curicó es prevenir, diagnosticar, entregar tratamiento y sanar a su mascota, otorgando una atención inmediata y profesional. Nuestro objetivo es entregarle nuestra experiencia y servicio en pro del cuidado de su mascota.;;
Plaquitas Identificatorias Temuco;Avenida Costanera n° 01464 local  Entregas Plaza De Ar, Temuco, La Araucanía, Chile;992632574;brujiz.sa@gmail.com;Plaquitas identificatorias personalizadas para mascotas y accesorios varios para perritos y gatitos;;
Pomerania N;Condominio San Carlos n° 01863, Puente Alto, Metropolitana De Santiago, Chile;971511943;mvaldesva@gmail.com;Venta de camadas de cachorros pomerania y pomerania adulto maho y hembra;;
ISAPET, Isapre De Mascotas;Compañía De Jesús 1390, Oficina 2001. Edificio YMCA., Santiago, Metropolitana De Santiago, Chile;26990362;contacto@isapet.cl;Somos la primera y única Isapre de Mascotas en Chile. ;;
Pet Shop Victoria Tachi;Jose Manuel Borgoño 785, Maipú, Metropolitana De Santiago, Chile;76541533;victoria_tachi@yahoo.com;peluqueria y estetica canina golden pet, corte de pelo segun raza, corte de uñas, accesorios para tu mascota, baños sanitarios, atiendo de lunes a domingo de 11 a 19 hrs. llamame al 76541533 o al fijo 25317560 y reserva tu hora.;;
Veterinaria María Graciela Flores;Camino El Cajón n° 16440, Lo Barnechea, Metropolitana De Santiago, Chile;56982285607;hotelcaninodraflores@gmail.com;Hola atiendo a domicilio a sus mascotas. También cuidamos casos especiales a convenir.;;
Alto Vizcachas;Camilo Henriquez 1650 A, Puente Alto, Metropolitana De Santiago, Chile;28752674;contrerassilva1987@gmail.com;consulta, hospital, cirugias, peluqueria, domicilios;;
Pet Shop World Pet´s;Esquina Blanca 093 K13, Maipú, Metropolitana De Santiago, Chile;78850813;anitaspicder@gmail.com;se vende todo para su mascota;;
Canil DeChang;Baudelaire 754, Puente Alto, Santiago, Chile, Metropolitana De Santiago, Chile;95193504;cepalmat@gmail.com;En Canil Dechang nos dedicamos a la crianza y venta de cachorros de Shar Pei. Entregramos los cachorritos destetados, desparasitados y con sus primeras vacunas, a los sesenta días.;;
Clínica Tobalaba;Av Santa Rosa 12794, La Pintana, Metropolitana De Santiago, Chile;25366035;cvtobalaba@gmail.com;Clínica Tobalaba.;;
PETCENTER EXPRESS;Los Jardines 01601, Puente Alto, Metropolitana De Santiago, Chile;28758248;fernandomunozb@gmail.com;Gran variedad de Alimentos para mascotas, excelentes precios, entrega a domicilio, asistencia en alimentación y veterinaria, accesorios;;
Kuriros Pet;Avenida 18 De Septiembre n° 4310, La Serena, Coquimbo, Chile;512484024;kurirospet@gmail.com;Somos Daniela Y Roberto, ambos Estilistas Caninos con Estudios Comprobables.;;
HECTOR ARAVENA TORREBLANCA;Av. Suecia 3113 - B, Ñuñoa, Metropolitana De Santiago, Chile;276135000;aravenaechaurren@hotmail.com;venta alimentos y accesorios para mascotas;;
DogCare Hotel;Simon Bolivar n° 7146, La Reina, Metropolitana De Santiago, Chile;991393936;contacto@dogcare.cl;Hotel para perritos pequeños y medianos. Perros libres dentro y fuera de casa, en un ambiente acogedor y con mucho amor por los animales. Distintos servicios según la necesidad del amo. Contacto constante para saber como está tu mascota.;;
Don Perro;Tobalaba  n° 10125, La Reina, Metropolitana De Santiago, Chile;56999734238;victor@donperro.cl;Realizamos paseos caninos en diferentes comunas de la zona oriente de Stgo. Distintos planes y tarifas según cantidad de días y perros. Visita nuestra web. Además tenemos Fanpage e Instagram!;;
Hotel Cuido Tu Mascota;Alfonso X 5489, Maipú, Metropolitana De Santiago, Chile;89141233;cuidomascota@gmail.com;Cuidamos a tu mascota en ambiente familiar, contamos con dos casas, una en maipú y otra en santiago centro. No más jaulas.;;
DOGFULL , Servicio De Peluquería Canina  A Domicilio;Nueva Recoleta 3529, Recoleta, Metropolitana De Santiago, Chile;94467937;emikv17@hotmail.com;Servicio de peluquería canina a domicilio, preferencia sector norte y centro Santiago.;;
CLINICA VETERINARIA TOMÁS MORO;Av. Tomás Moro 1242, Las Condes, Metropolitana De Santiago, Chile;22295083;cvtomasmoro@gmail.com;Clínica Veterinaria Atención 24 hrs. Consultas,Hospitalización, Cirugías, Atención de Animales Exóticos por Especialista, Farmacia, Alimentos, Peluquería Canina y Felina.;;
Vetnostic - Laboratorio Diagnóstico Veterinario;Nueva Providencia 1881, Of. 2005, Providencia, Metropolitana De Santiago, Chile;23496863;ignacio.bode@vetnostic.cl;Laboratorio Diagnóstico Veterinario - Hematología - Química Sanguínea - Urianálisis - Citopatología - Parasitología - Inmunología.;;
Veterinaria El Alba;Paul Harris Sur 31, Las Condes, Metropolitana De Santiago, Chile;27697261-(09)66113463;vetelalba@hotmail.com;Consultas, Vacunas, Tratamientos, Cirugías, Limpieza Dental, Peluquería de Mascotas, Hotel de Mascotas, Farmacia, Alimentos, Accesorios;;
Alicia Marquez;Rosas  n° 1520, Santiago, Metropolitana De Santiago, Chile;56995080243;alixia1405@gmail.com;Hola mi nombre es Alicia Marquez tengo 27 años soy Venezolana trabajo en casa, soy profesional ,amo las mascotas , tengo 2 perros aunque no viven conmigo, ofrezco mi hogar que es pequeño pero acogedor, vivo sola con mi esposo, y tengo un buen espacio para cualquier mascota que me quiera visitar lleno de amor, si su amo lo quiere hospedar con mucho cariño lo vamos a tratar y sacaremos a pasear su comidita no le faltara al igual que su agua limpia y fresca .Seguire todos los consejos y requirimientos que su dueño me indique,como medicinas peinado etc...Si deseas un servicio de caminata con las mejores de las energias caminaremos jugaremos , disfrutaremos de forma divertida y responsable, refor;;
Numen Emporio Pastelería Online Para Mascotas;Nataniel Cox n° 1302 local  Pastelería Online, P, Santiago, Metropolitana De Santiago, Chile;56987661348;numenemporio@gmail.com;Pastelería Online para mascotas, pedidos con 3 días hábiles previos y luego retiras en mi domicilio particular.;;
Clinica Veterinaria Entre Perros Y Gatos;Av. Las Parcelas 4815, Estación Central, Metropolitana De Santiago, Chile;24198900;entreperros_gatos@yahoo.com;Atencion clinica y hospital veterinario durante las 24 horas todos los dias de la semana;;
Pet Haus Consulta Veterinaria Holística;Avda. Primera Transversal 2635 A Local 2, Maipú, Metropolitana De Santiago, Chile;22317793008-8850161;acevedo_goenaga@yahoo.com;Somos la primera y única Consulta Veterinaria Holística de Maipú con 15 años de experiencia en Homeopatía Veterinaria, Flores de Bach, Aromaterapia y Reiki para mascotas. Entre nuestros servicios tenemos cirugías, destartrajes con ultrasonido, laboratorio, farmacia homeopática y alopática, etc.;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;servicios de mascotas;;
Pet Country;Bocaccio 511, Las Condes, Metropolitana De Santiago, Chile;27168599;ventas@pet-country.cl;Venta de mascota y alimento para mascotas. Despacho a domicilio.;;
Criadero Montañon;Larrain 2323, Peñaflor, Peñaflor, Metropolitana De Santiago, Chile;09-2513831;;Criadero de Perros con gran variedad de razas;;
Covepa;Av. Gramado S/n, Puerto Varas, Los Lagos, Chile;(65)522317;puertovaras@covepa.cl;;;
Perroutique;Pasaje Michelangelo Bonarotti 2802 Villa Florencia Rancagua, Rancagua, Libertador General Bernardo O'Higgins, Chile;72319051;perroutique@gmail.com;Peluquería Canina;;
Patitas Compinches Pet;6 Norte, Entre 3 Y 4 Poniente (Interior Pje. Luis Borgoño) local  13-B, Viña Del Mar, Valparaiso, Chile;3437906;alimento@patitascompinches.cl;Alimentos y Snacks Premium de Reconocidas Marcas a Precios Convenientes, Da Lo Mejor! ;;
Peludogs Peluquería Para Mascotas;Michimalonco n° 1133, San Pedro De La Paz, Biobío, Chile;413356899;hola@peludogs.cl;Peludogs es la primera Peluquería de Mascotas en Positivo es una forma profesional de realizar las tareas de higiene y estética de la mascota cuyo fundamento es la compresión y el control de los factores que le puedan producir estrés, angustia o miedo. Representa una relación basada en la confianza y la comunicación, una forma de realizar el servicio de que favorece el respeto mutuo y en la que la prioridad absoluta es el bienestar y la seguridad de la mascota. Amamos a los peludos y nos preocupamos que su experiencia sea positiva y que no le teman nunca más volver a la peluquería.;;
Animal World;Av. Santa María 6786 Local 16, Vitacura, Metropolitana De Santiago, Chile;22422906;awveterinaria@gmail.com;Centro veterinario y pets ubicado en Lo Curro;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Huellas de mascotas ofrecer servicio de veterinaria, peluqueria canina, hotel canino, guarderia canina, cumpleaños caninos;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Servicios de mascotas: Veterinaria, Peluqueria, Hoteleria, Guarderia, Alimentos y accesorios.;;
MGVet Puente Alto;Tocornal Grez 283, Puente Alto, Metropolitana De Santiago, Chile;28516893;centroveterinariomgvet@gmail.com;Centro veterinario cuenta con:consulta,  hospital,radiografia, otros examenes complementarios  cirugias basicas y especializadas,especialidad en manejo reproductivo;;
Cynthia Mendez;Bacteriologico 10237, La Florida, Metropolitana De Santiago, Chile;22825324--22676500;elmolinodeheidi@@gmail.com;ALIMENTO PARA MASCOTAS EN LA FLORIDA Y PUENTE ALTO;;
Mi Mascota Entretenida;Avenida Portugal 87 , Santiago, Metropolitana De Santiago, Chile;7-9434374;apobletefernandez@gmail.com;Ventas productos de mascotas, alimentos, tazones publicitarios.;;
Clínica Veterinaria Santa Teresa;Departamental 206, San Joaquín, Metropolitana De Santiago, Chile;22835551;cvsantateresa@gmail.com;Consulta - cirugias - examenes - radiografias - limpieza dental - alimentos- farmacia veterinaria - peluqueria;;
Plaquitas Identificatorias Temuco;Avenida Costanera n° 01464, Temuco, La Araucanía, Chile;56992632574;brujiz.sa@gmail.com;Venta de plaquitas identificatorias personalizadas y accesorios varios para perritos y gatitos;;
Perruqueria ¡Oh My Dog!;Quito n° 8529, Chile;90693358;contacto@perruqueriaohmydog.cl;Somos un grupo conformado por amantes de los animales, creamos nuestra Peluquería Canina. Nuestro principal objetivo es entregar un servicio de calidad siempre considerando como prioridad el bienestar de los animales.;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Huellas de mascotas ofrecer servicio de veterinaria, peluqueria canina, hotel canino, guarderia canina, cumpleaños caninos;;
Pet Shop Spa Integral Mascotitas;Pasaje Conde Lucanor 1580 Villa Parque El Golf De Maipu, Maipú, Metropolitana De Santiago, Chile;29428665;jess_canina@hotmail.com;Spa integral mascotitas ofrece atencion para su mascota .Peluqueria canina y venta de alimentos y accesorios.;;
Pet Shop Victoria Tachi;Jose Manuel Borgoño 785, Maipú, Metropolitana De Santiago, Chile;76541533;victoria_tachi@yahoo.com;peluqueria y estetica canina golden pet, corte de pelo segun raza, corte de uñas, accesorios para tu mascota, baños sanitarios, atiendo de lunes a domingo de 11 a 19 hrs. llamame al 76541533 o al fijo 25317560 y reserva tu hora.;;
Criadero Bola De Estambre;Tegualda 2011, Santiago, Metropolitana De Santiago, Chile;222043479;criaderoboladeestambre@gmail.com;Gatos Maine Coon en Chile - Tenemos una elegante línea Europea que mezcla perfectamente el tamaño junto con el perfil de la raza. Criamos a nuestros gatitos con amor y en un entorno familiar para que esten acostumbrados a los niños y otras mascotas.;;
Aquavirtual;Eyzaguirre , Puente Alto, Metropolitana De Santiago, Chile;228728705;contacto@aquavirtual.cl;Nuestra tienda tiene accesorios y  mascotas pequeñas como hamster,conejos ,peces ,corales marinos y kuy     ademas tenemos un amplio surtido de accesorios para animales en general ;;
Pet Puppies ;Huerfanos  n° 1055 local  Tienda On-Line, Santiago, Metropolitana De Santiago, Chile;24613943;contacto@petpuppies.cl;Lo Mejor para tu mascota ;;
TOTAL-PET.CL;Av. Padre Hurtado Sur 1807, Las Condes, Metropolitana De Santiago, Chile;29542683;totalpet@manquehue.net;Centro veterinario Total-Pet , mas de 8 años al cuidado de sus mascotas , Cirugias , plan de Salud , Reproduccion Canina , dermatologia , Laboratorio clinico , Farmacia y PET STORE;;
Pet Shop Animal World;AVENIDA LA MONTAÑA 2528, LOCAL 6, VALLE GRANDE, Lampa, Metropolitana De Santiago, Chile;02-7386788/02-9177727;veterinaria.petsanimal@gmail.com;CONTAMOS CON UN SERVICIO INTEGRAL PARA SU MASCOTA, VETERINARIA, CIRUGIAS, MEDICAMENTOS, ACCESORIOS, PELUQUERIA Y TODAS LAS MARCAS DE ALIMENTOS.;;
Befoods;Pirámide 587, Valparaíso, Valparaiso, Chile;(032)274-54-76;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
Bodega Zañartu;Avenida Zañartu 2558, Nuñoa (Pza Zañartu), Ñuñoa, Metropolitana De Santiago, Chile;02-3569739;bodegazanartu@vtr.net;Amplia Variedad Alimentos y Accesorios para mascotas.;;
Clínica Veterinaria Pewün;Avda. La Araucana 5706 Villa La Posada Coronel, Coronel, Biobío, Chile;2734858;pewun@live.com;;;
REAL VET;HERMANOS CARRERA , San Felipe, Valparaiso, Chile;342411174;realvetsanfelipe@gmail.com;Servicio Médico Veterinario a domicilio;;
Pet- Zooa Alimentos Y Accesorios Para Mascotas;MANUEL ANTONIO MATTA 1485-B, Quilicura, Metropolitana De Santiago, Chile;8-8892791;juancarlos.pezoa@gmail.com;VENTA DE ALIMENTOS DE MASCOTAS Y ACCESORIOS;;
La Chacra;Calle Saturnino Saucedo 2185, Bolivia;33474753;lachacra@hotmail.com;les ofrece los siguientes servicios tratamientos contra cualquier enfermedad , vacuna con certificacion , desparacitaciones , vitaminas y minerales , castarciones en todas las especies , se eralizan certificados de vacunaciones para sus animales , asistencia profecional , asesoramiento tecnico , se atiende a granjas;;
"Clínica Veterinaria ""Parque Central""";Las Perdices 8201 Parque Central, Hualpén, Hualpén, Biobío, Chile;41-3240388;veterinariapc@gmail.com;Consulta veterinaria, peluquería canina, hospitalización, vacunación, control antiparasitario, venta de alimentos, medicamentos y productos contra pulgas y garrapatas.;;
Diamond Blue Yorkshire Terrier;Lircay 117, Recoleta, Recoleta, Metropolitana De Santiago, Chile;92503098;contacto@diamondblue.cl;Criamos Yorkshire Terrier de alta selección para show y compañía con el mismo amor, seriedad y la dedicación necesaria para conseguir el más bello ejemplar en un ambiente familiar.;;
Clínica Veterinaria Los Olivos;Mejillones, Arica, Arica Y Parinacota, Chile;2313782;cvetlosolivos@gmail.com;Clínica veterinaria y centro de esterilización felino a bajo costo, realizamos consultas animales domésticos y exóticos, peluquería canina, ecografía, hospitalización, cirugías, urgencia, exámenes de sangre, citológicos, e histológicos, ortopedia, oftalmología, farmacia, comidas, petshop;;
Criadero Rayenco;Los Cerezos 928, Peñaflor, Metropolitana De Santiago, Chile;9-6092412/08-9001200;info@criaderorayenco.cl;El criadero rayenco ofrece cachorros inscritos y microchipiados, de excelente linea de sangre, disponibles para entrega a partir de los dos meses de vida, nuestro criadero se especializa en la crianza exclusiva de chihuahuas de pelo corto y pelo largo, se garantiza calidad y standar de la raza.;;
Clínica Veterinaria Bicharrakos;Eulalio Henriquez 128, Panguipulli, Los Ríos, Chile;68107515;loretortegar@gmail.com;Atención veterinaria a mascotas, cirugía,ecografia, corte de pelo, venta de accesorios. Trato familiar para todos nuestros pacientes. .;;
Cynthia Mendez;Bacteriologico 10237, La Florida, Metropolitana De Santiago, Chile;22825324--22676500;elmolinodeheidi@@gmail.com;ALIMENTO PARA MASCOTAS EN LA FLORIDA Y PUENTE ALTO;;
HOTEL CANINO PUANGUE;Camino Puangue Parcela 13 Interior 28, Metropolitana De Santiago, Chile;998572463;hotelcaninopuangue@outlook.com;Somos una empresa familiar que viene trabajando en melipilla desde el año 2006, con pet shop, clínica y consulta veterinaria, el 2016, inauguramos el HOTEL CANINO PUANGUE.;;
Eduardo Andres Pino Pino;Las Aralias n° 18678, Maipú, Metropolitana De Santiago, Chile;949822127;Kafreig@gmail.com;Buen dia, quiero comprar alimentos para mi tienda de mascotas.;;
Centro Integral De Bienestar Animal (CIBA)-net.médica;Los Leones 2713, Providencia, Metropolitana De Santiago, Chile;24744927;netmedica@vtr.net;Clínica Veterinaira orientada al Bienestar Animal. Ofrecemos Terapia Conductual, Adiestramiento y Escuela de Socialización;;
Clínica Veterinaria Edenvet Ltda.;Padre Jaime Larrain 65 , Estación Central, Metropolitana De Santiago, Chile;223161240;veterinariaeden@gmail.com;Clínica especializada en Diagnostico por Imagen ;;
Pet Shop El Perro Criollo;Camino Lo Pinto 2424, Lampa, Metropolitana De Santiago, Chile;08-861427802-8426228;elperrocriollo@gmail.com;LOCAL DEDICADO A LA VENTA DE ALIMENTOS DE MASCOTAS, ACCESORIOS, ARTÍCULOS VETERINARIOS Y FRUTOS DEL PAÍS.;;
Pet Shop Aranttes;Av. Salvador Allende 411, San Joaquín, Metropolitana De Santiago, Chile;50325271-50325405;ranttes@gmail.com;Somos un par de personas que diseñan  mochilas para perros pensando en las necesidades que tiene su mascotas durante un paseo o  una caminata.;;
Comercial Inox Projects Limitada;Calle Arlegui 1109,  Avenida Marina 1130, Local 37, Viña Del Mar., Viña Del Mar, Valparaiso, Chile;2683872;Inox_Projects@tie.cl;Distribución y venta de maquinaria gastronómica, lavadoras y secadoras industriales Maytag.;;
Hotel Pet Resort Santiago;Las Tranqueras, Las Condes, Metropolitana De Santiago, Chile;944101329;contacto@hotelpetresort.cl;Hotel Pet Resort Santiago.;;
Clínica Veterinaria Francal;Avenida Rauquen 1760, Curicó, Maule, Chile;9-9189705;francisco.homero@hotmail.com;Consulta Veterinaria, Farmacia, Distribución de Alimentos y accesorios para mascotas.;;
Kody Pet Food;Pasaje Dos n° 4404, Pedro Aguirre Cerda, Metropolitana De Santiago, Chile;956206986;kodypetfood@gmail.com;somos tienda online con despacho y envios ;;
PetShop & Veterinaria Puppy´s;Barros Arana  n° 06551 local  Local 2, Temuco, La Araucanía, Chile;966294329;veterinaria.bsotos@gmail.com;PetShop & Veterinaria, donde podrán encontrar atención para mascotas, accesorios, medicamentos y alimentos.;;
